Customer Code,Agenda Appointments,Appointments Completed,Customer Code,Customer Type Group,Shop Code - Descr,Service Category Descr,Service Descr
00001TZZ,01,,00001TZZ,CUSTOMER,012-CASTELLO DE LA PLANA - MAYOR,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001U7R,01,01,00001U7R,CUSTOMER,025-LLEIDA - MAGI MORERA,Pre-Sales,CIERRE DE LA PRUEBA
00001UCF,01,,00001UCF,LEAD,FBC-MORON DE LA FRONTERA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001UII,01,01,00001UII,PROSPECT,140-VALENCIA - SAN AGUSTIN,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001UUI,01,,00001UUI,PROSPECT,089-BARCELONA - GAUDI,1st APPS,EXAMEN TELEMARKETING LE
00001VF1,01,01,00001VF1,CUSTOMER,043-VALLADOLID - ZORRILLA 1,Pre-Sales,1° CONTROL PRUEBA
00001W22,01,,00001W22,PROSPECT,099-COSLADA - DOCTOR FLEMING,Pre-Sales,3° CONTROL PRUEBA
00001X09,01,,00001X09,CUSTOMER,122-BARCELONA - SANTS 1,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00001X5V,01,01,00001X5V,PROSPECT,148-GIJON/XIXON - CORRIDA,1st APPS,OPORTUNIDAD POTENCIAL
00001XC8,01,01,00001XC8,PROSPECT,177-PONFERRADA,1st APPS,EXAMEN TELEMARKETING LE
00001XF2,01,,00001XF2,PROSPECT,037-MADRID - BRAVO MURILLO 1,1st APPS,OPORTUNIDAD POTENCIAL
